length,iters,baseline_us,simd_old_us,simd_new_us,bp_scalar_us,bp_avx2_us,openmp_us,simd_old_speedup,simd_new_speedup,bp_scalar_speedup,bp_avx2_speedup,openmp_speedup
32,200,9.615000,10.755000,6.220000,10.105000,10.450000,26.040000,0.894003,1.545820,0.951509,0.920096,0.369240
50,200,29.690000,28.565000,16.270000,25.475000,23.755000,36.245000,1.039384,1.824831,1.165456,1.249842,0.819147
64,200,37.970000,42.005000,23.150000,38.540000,38.540000,44.820000,0.903940,1.640173,0.985210,0.985210,0.847166
100,200,93.965000,104.890000,58.185000,95.630000,97.100000,100.610000,0.895843,1.614935,0.982589,0.967714,0.933953
200,200,377.170000,369.265000,158.645000,195.640000,195.635000,376.490000,1.021407,2.377447,1.927878,1.927927,1.001806
500,50,2089.880000,2215.300000,954.140000,1217.160000,1217.300000,2331.620000,0.943385,2.190328,1.717013,1.716816,0.896321
1000,20,6915.300000,9412.200000,4394.850000,5422.700000,5391.450000,10226.750000,0.734717,1.573501,1.275250,1.282642,0.676197
2000,10,21467.600000,37829.200000,17437.200000,24887.500000,23904.600000,40142.200000,0.567488,1.231138,0.862586,0.898053,0.534789
4000,5,90597.000000,159726.400000,73996.400000,99668.200000,90901.400000,133510.000000,0.567201,1.224343,0.908986,0.996651,0.678578
8000,3,376353.333333,640507.333333,285894.000000,365214.666667,363071.333333,399654.333333,0.587586,1.316409,1.030499,1.036582,0.941697
12000,2,904354.500000,1397909.000000,647401.500000,821661.000000,851015.000000,867042.000000,0.646934,1.396899,1.100642,1.062678,1.043034
